ocr,category,time_ocr
B1931TYP,Masuk,2024-09-19 09:26:38
B1931TYP,Keluar,2024-09-19 09:30:05
B1931TYP,Masuk,2024-09-19 09:30:22
B1931TYP,Keluar,2024-09-19 09:37:48
B1931TYP,Masuk,2024-09-19 09:39:02
B1931TYP,Masuk,2024-09-21 09:49:44
B1931TYP,Masuk,2024-09-23 11:33:32
B1931TYP,Keluar,2024-09-23 11:34:52
Z9273MG,Masuk,2024-09-23 11:49:20
Z9273MG,Keluar,2024-09-23 11:49:38
B1730KFH,Masuk,2024-09-23 11:51:13
Z9273MG,Masuk,2024-09-23 11:57:24
Z9273MG,Masuk,2024-09-23 13:09:45
Z9273MG,Masuk,2024-09-23 13:21:25
B1730KFH,Masuk,2024-09-23 13:21:43
Z9273MG,Keluar,2024-09-23 13:25:19
B1730KFH,Masuk,2024-09-23 13:36:44
B1730KFH,Keluar,2024-09-23 13:36:59
B1931TYP,Masuk,2024-09-23 13:37:29
Z9273MG,Masuk,2024-09-23 13:37:48
Z9273MG,Keluar,2024-09-23 13:38:07
B1730KFH,Keluar,2024-09-23 13:38:58
B1730KFH,Masuk,2024-09-23 13:39:24
B1730KFH,Keluar,2024-09-23 13:40:22
B1730KFH,Masuk,2024-09-23 13:43:32
B1730KFH,Keluar,2024-09-23 13:43:57
B1931TYP,Masuk,2024-09-23 13:47:09
B1931TYP,Keluar,2024-09-23 13:47:29
B1730KFH,Masuk,2024-09-23 13:50:15
B1931TYP,Keluar,2024-09-23 13:50:45
B1730KFH,Keluar,2024-09-23 13:55:43
B1931TYP,Masuk,2024-09-23 13:58:00
B1730KFH,Keluar,2024-09-23 14:00:42
B1730KFH,Masuk,2024-09-23 14:01:09
T9431DF,Masuk,2024-09-23 15:48:18
T9431DF,Keluar,2024-09-23 15:49:04
B1155KKY,Masuk,2024-09-23 16:26:55
BE8298ABU,Keluar,2024-09-23 17:18:05
BE8298ABU,Masuk,2024-09-23 17:19:33
BE8298ABU,Keluar,2024-09-23 17:20:27
B9885JH,Keluar,2024-09-24 01:38:20
B9591QZ,Keluar,2024-09-24 01:51:55
B9195KEU,Keluar,2024-09-24 01:54:29
B9299SXR,Keluar,2024-09-24 01:56:53
B9180FG,Masuk,2024-09-24 02:03:53
W8956UT,Keluar,2024-09-24 02:04:11
B9391KYT,Masuk,2024-09-24 03:10:31
Z9286MN,Masuk,2024-09-24 04:06:29
B9399TEV,Masuk,2024-09-24 04:10:46
B9457KY,Keluar,2024-09-24 05:18:57
B9457KY,Keluar,2024-09-24 05:19:34
B9504KDC,Keluar,2024-09-24 05:23:05
B9487KDC,Keluar,2024-09-24 05:25:52
B989KDC,Keluar,2024-09-24 05:35:36
B9697KCE,Keluar,2024-09-24 05:37:56
B9054KCF,Keluar,2024-09-24 05:40:02
A9165EX,Masuk,2024-09-24 05:42:39
B9232IW,Keluar,2024-09-24 05:46:11
B9602KCA,Keluar,2024-09-24 05:48:51
B9400KCA,Keluar,2024-09-24 05:56:56
B9675UCJ,Masuk,2024-09-24 05:57:46
B9702KCE,Keluar,2024-09-24 05:58:41
B9639TEZ,Masuk,2024-09-24 06:20:16
B9600KDC,Keluar,2024-09-24 06:24:31
B9265KCF,Keluar,2024-09-24 06:30:01
B9501KDC,Keluar,2024-09-24 06:34:35
B9145I,Keluar,2024-09-24 06:37:52
B9636KCA,Keluar,2024-09-24 06:39:25
B9596KDC,Masuk,2024-09-24 06:56:11
B9596KDC,Keluar,2024-09-24 06:56:40
B9635KCA,Keluar,2024-09-24 07:20:11
B9936TXW,Masuk,2024-09-24 07:53:35
B9457KCB,Keluar,2024-09-24 07:56:57
Z9273MG,Masuk,2024-09-27 14:39:41
Z9273MG,Keluar,2024-09-27 14:42:21
B1931TYP,Masuk,2024-09-27 14:42:35
B1931TYP,Keluar,2024-09-27 14:42:49
B1730KFH,Masuk,2024-09-27 14:43:14
B1931TYP,Masuk,2024-09-27 14:48:30
B9635KCA,Keluar,2024-09-28 07:27:08
A9661EX,Masuk,2024-09-28 07:31:19
B9815YG,Masuk,2024-09-28 07:43:26
B9815YG,Keluar,2024-09-28 07:54:05
B9636KCA,Keluar,2024-09-28 07:56:06
F9415FG,Keluar,2024-09-28 08:08:25
B9297TEW,Masuk,2024-09-28 08:18:28
B9489KDC,Keluar,2024-09-28 08:19:46
B9936FEH,Masuk,2024-10-04 08:34:12
B9445KCA,Keluar,2024-10-12 08:41:12
B9391TEU,Keluar,2024-10-12 08:45:20
B9702KCE,Keluar,2024-10-14 03:42:00
B2497TOH,Masuk,2024-11-04 14:39:31
B2497TOH,Masuk,2024-11-04 14:45:15
B2497TOH,Keluar,2024-11-04 16:04:36
B2497TOH,Keluar,2024-11-05 08:01:22
B2497TOH,Masuk,2024-11-05 08:02:31
B2817KFK,Masuk,2024-11-30 09:12:29
B2817KFK,Keluar,2024-11-30 09:12:54
B1931TYP,Masuk,2024-11-30 09:13:18
B1931TYP,Keluar,2024-11-30 09:13:38
B2464FKC,Masuk,2024-11-30 09:17:31
B2464FKC,Keluar,2024-11-30 09:18:28
B2464FKC,Masuk,2024-11-30 09:18:53
B2464FKC,Keluar,2024-11-30 09:19:10
B1730KFH,Keluar,2024-11-30 09:19:38
B2497TOH,Keluar,2024-11-30 10:15:34
B9066BYW,Masuk,2024-11-30 19:03:41
B9299SXR,Keluar,2024-11-30 19:23:27
B9438KXV,Keluar,2024-11-30 19:26:48
B938KXV,Masuk,2024-11-30 19:27:27
B9438KXV,Masuk,2024-11-30 19:28:24
B938KXV,Keluar,2024-11-30 19:29:16
D9583AC,Keluar,2024-12-01 00:23:37
B9511BXR,Keluar,2024-12-01 01:12:05
B9261UYT,Keluar,2024-12-01 01:24:10
B2924KZX,Masuk,2024-12-01 12:12:26
B936FEH,Masuk,2024-12-02 09:15:23
B993KDC,Keluar,2024-12-02 09:17:41
B493KDC,Masuk,2024-12-02 09:19:07
B493KDC,Keluar,2024-12-02 09:19:41
B993KDC,Masuk,2024-12-02 09:20:08
B993KDC,Keluar,2024-12-02 09:20:34
B914SIW,Masuk,2024-12-02 09:22:41
B914SIW,Keluar,2024-12-02 09:24:38
B9701KCE,Keluar,2024-12-02 09:42:22
B9265KCF,Keluar,2024-12-02 09:47:30
B9159KCG,Keluar,2024-12-02 10:07:40
B9344KCE,Keluar,2024-12-02 10:10:20
BB27SFB,Masuk,2024-12-02 10:12:02
B9020TFY,Keluar,2024-12-02 10:20:16
B344KCG,Keluar,2024-12-02 10:30:09
B762TRA,Masuk,2024-12-02 10:33:44
BS2I,Masuk,2024-12-02 10:34:32
B2762TRA,Keluar,2024-12-02 10:45:13
F8543MA,Masuk,2024-12-02 10:53:37
BB67ZA,Masuk,2024-12-02 10:54:14
B909QG,Masuk,2024-12-02 10:54:51
B9719TEW,Keluar,2024-12-02 10:55:49
B909QG,Masuk,2024-12-02 10:58:50
BE8789BN,Keluar,2024-12-02 11:11:47
BB497AUC,Keluar,2024-12-02 11:13:51
F8543MA,Keluar,2024-12-02 11:20:40
B244UYT,Masuk,2024-12-02 11:33:13
B98SI,Masuk,2024-12-02 11:34:57
AB27SFB,Keluar,2024-12-02 12:07:07
B344FB,Keluar,2024-12-02 12:07:46
B378WK,Masuk,2024-12-02 12:08:47
D8076DZ,Masuk,2024-12-02 12:53:02
BE9840BN,Masuk,2024-12-02 12:54:42
AB176US,Masuk,2024-12-02 13:21:01
B9636KCA,Masuk,2024-12-02 13:25:07
B9438OY,Masuk,2024-12-02 13:26:14
B936FEH,Keluar,2024-12-02 13:26:51
B9885JH,Masuk,2024-12-02 13:35:21
B9701KCE,Masuk,2024-12-02 13:40:33
B479FE,Masuk,2024-12-02 13:47:29
B1724VX,Masuk,2024-12-02 13:50:49
DB146YA,Masuk,2024-12-02 13:53:33
B9501KDC,Masuk,2024-12-02 14:07:09
B52IIH,Keluar,2024-12-02 14:11:51
B9344KCG,Masuk,2024-12-02 14:14:19
B5966KDC,Masuk,2024-12-02 14:18:11
B9596KDC,Masuk,2024-12-02 14:18:53
BB462AUC,Masuk,2024-12-02 14:26:06
B600KDC,Masuk,2024-12-02 14:30:01
BB654BP,Masuk,2024-12-02 14:35:04
A9867ZA,Keluar,2024-12-02 14:36:13
D9542YC,Masuk,2024-12-02 15:39:28
B139AG,Masuk,2024-12-02 15:41:07
B9610SIN,Keluar,2024-12-02 15:41:53
B344KCE,Masuk,2024-12-02 15:46:20
Z9596KL,Keluar,2024-12-02 15:51:36
B912ONY,Masuk,2024-12-02 15:52:01
Z9596KL,Keluar,2024-12-02 15:53:36
B702KCE,Masuk,2024-12-02 15:56:34
BE8039FM,Masuk,2024-12-02 15:57:36
AB1766US,Masuk,2024-12-02 16:02:21
AB176SUS,Keluar,2024-12-02 16:03:38
R9053KCF,Masuk,2024-12-02 16:08:13
B9487KDC,Masuk,2024-12-02 16:10:40
B596SIM,Keluar,2024-12-02 16:11:39
B9487KDC,Masuk,2024-12-02 16:12:26
B195EU,Masuk,2024-12-02 16:15:03
B195KEU,Masuk,2024-12-02 16:16:02
B663YV,Masuk,2024-12-02 16:16:24
BB32O,Masuk,2024-12-02 16:17:39
B263UYT,Masuk,2024-12-02 16:18:16
B9159KCG,Masuk,2024-12-02 16:28:13
B9232IW,Masuk,2024-12-02 16:38:51
B9443KCA,Masuk,2024-12-02 16:40:48
D9438AF,Masuk,2024-12-02 16:44:21
B9348SIA,Keluar,2024-12-02 16:48:38
B111TDS,Masuk,2024-12-02 16:51:02
B111TDS,Keluar,2024-12-02 17:02:20
F9744FE,Masuk,2024-12-02 17:05:22
B969OU,Keluar,2024-12-02 17:12:15
B9116JVT,Masuk,2024-12-02 17:30:06
B9017BRO,Masuk,2024-12-02 17:41:02
B9054KCF,Masuk,2024-12-02 17:43:09
DB146YA,Keluar,2024-12-02 17:51:11
B9400KCA,Masuk,2024-12-02 18:03:30
BE8178AUA,Masuk,2024-12-02 18:30:47
B9457KCB,Masuk,2024-12-02 18:32:11
B116JVT,Keluar,2024-12-02 18:42:53
BB462AUC,Keluar,2024-12-02 18:45:51
B344KCG,Masuk,2024-12-02 18:48:06
B9504KDC,Masuk,2024-12-02 18:49:43
B993KDC,Masuk,2024-12-02 18:59:54
D9542YC,Keluar,2024-12-02 21:20:25
B9438KXV,Masuk,2024-12-02 21:29:57
B9297SEU,Masuk,2024-12-02 21:36:30
P9706FRV,Keluar,2024-12-02 22:13:55
B9706TER,Keluar,2024-12-02 22:14:34
B9244UYT,Keluar,2024-12-02 22:20:06
B427YN,Masuk,2024-12-02 22:32:36
B427YN,Masuk,2024-12-02 22:33:17
BE8039FM,Keluar,2024-12-02 22:34:02
BB6548P,Keluar,2024-12-02 22:50:04
BB32O,Keluar,2024-12-02 22:57:27
B195IEO,Keluar,2024-12-02 23:05:42
B648GO,Masuk,2024-12-02 23:25:02
B9181LD,Masuk,2024-12-02 23:34:41
B9258TEV,Masuk,2024-12-03 00:11:33
B9180FG,Keluar,2024-12-03 00:13:20
B959IQZ,Keluar,2024-12-03 00:26:16
B938X,Keluar,2024-12-03 01:34:53
B9438KXV,Keluar,2024-12-03 01:39:42
B9248UYT,Keluar,2024-12-03 01:46:00
B263UYT,Keluar,2024-12-03 02:05:07
B511BXR,Masuk,2024-12-03 02:18:21
B247UYT,Keluar,2024-12-03 02:53:56
B9504KDC,Keluar,2024-12-03 04:19:08
B378WK,Keluar,2024-12-03 04:26:56
B378WK,Keluar,2024-12-03 04:29:33
B9701KCE,Keluar,2024-12-03 04:38:23
B702KCE,Keluar,2024-12-03 04:50:38
B394OF,Masuk,2024-12-03 05:03:48
B9885JH,Keluar,2024-12-03 05:06:14
B9257TEU,Keluar,2024-12-03 05:10:00
D9438AF,Keluar,2024-12-03 05:15:07
BB9646BEH,Masuk,2024-12-03 05:22:21
B9646BEH,Masuk,2024-12-03 05:23:14
B9596KDC,Keluar,2024-12-03 05:35:35
B9636KCA,Keluar,2024-12-03 05:45:56
B9457KCB,Keluar,2024-12-03 05:51:08
B695KCE,Keluar,2024-12-03 05:54:30
B9443KCA,Keluar,2024-12-03 06:07:27
B9053KCF,Keluar,2024-12-03 06:08:41
B9264KCF,Keluar,2024-12-03 06:09:44
B9264KCF,Keluar,2024-12-03 06:10:21
B139AG,Keluar,2024-12-03 06:13:46
B9017BRO,Keluar,2024-12-03 06:21:24
B912ONY,Keluar,2024-12-03 06:24:36
B9600KDC,Keluar,2024-12-03 06:25:47
B9600KDC,Keluar,2024-12-03 06:26:45
B3992KDC,Keluar,2024-12-03 06:32:26
B9054KCF,Keluar,2024-12-03 06:37:27
F9744FE,Keluar,2024-12-03 06:48:21
B265KCF,Keluar,2024-12-03 06:54:38
B9487KDC,Keluar,2024-12-03 06:58:14
B9232IW,Keluar,2024-12-03 07:09:23
B9635KCA,Keluar,2024-12-03 07:12:09
B9849FAP,Masuk,2024-12-03 07:29:30
FB648GO,Keluar,2024-12-03 07:37:53
B648GO,Keluar,2024-12-03 07:38:42
B9501KDC,Keluar,2024-12-03 07:56:00
B9434KCB,Keluar,2024-12-03 07:56:30
BB7IHI,Masuk,2024-12-03 07:57:32
B900KCA,Keluar,2024-12-03 08:03:19
B900KCA,Keluar,2024-12-03 08:04:26
B900KCA,Keluar,2024-12-03 08:06:11
B9338TAJ,Masuk,2024-12-03 08:12:28
B9300KBI,Keluar,2024-12-03 08:13:15
B697KCE,Keluar,2024-12-03 08:14:41
B993KDC,Keluar,2024-12-03 08:25:49
B9849FAP,Keluar,2024-12-03 08:36:17
B9338TAJ,Keluar,2024-12-03 08:43:09
B511BXR,Keluar,2024-12-03 09:01:56
B261UYT,Keluar,2024-12-03 09:05:32
B9985UZ,Masuk,2024-12-03 09:23:03
B9195JW,Masuk,2024-12-03 09:31:28
B311FZQ,Masuk,2024-12-03 09:32:26
B743FE,Masuk,2024-12-03 09:34:44
BE8178AUA,Keluar,2024-12-03 09:37:42
